suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,157483,11882,7582,ok
Ed25519,0,152086,6148,2700,ok
Ed25519,1,152174,6148,2700,ok
ML-DSA-65,1,165937,11782,7489,ok
ML-DSA-65,2,157269,11882,7586,ok
Ed25519,2,152077,6148,2700,ok
Ed25519,3,151884,6148,2700,ok
ML-DSA-65,3,157784,11882,7578,ok
ML-DSA-65,4,157624,11882,7591,ok
Ed25519,4,152019,6148,2700,ok
Ed25519,5,151933,6148,2700,ok
ML-DSA-65,5,157681,11883,7582,ok
ML-DSA-65,6,157127,11882,7590,ok
Ed25519,6,151737,6148,2700,ok
Ed25519,7,151892,6148,2700,ok
ML-DSA-65,7,157160,11882,7577,ok
ML-DSA-65,8,157266,11882,7584,ok
Ed25519,8,152121,6148,2700,ok
Ed25519,9,151781,6148,2700,ok
ML-DSA-65,9,157277,11882,7585,ok
