suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,157353,11882,7586,ok
Ed25519,0,151797,6148,2700,ok
Ed25519,1,152388,6148,2700,ok
ML-DSA-65,1,157427,11883,7587,ok
ML-DSA-65,2,157056,11882,7586,ok
Ed25519,2,152031,6148,2700,ok
Ed25519,3,151887,6148,2700,ok
ML-DSA-65,3,157858,11883,7589,ok
ML-DSA-65,4,157159,11882,7590,ok
Ed25519,4,152299,6148,2700,ok
Ed25519,5,151758,6148,2700,ok
ML-DSA-65,5,157220,11882,7590,ok
ML-DSA-65,6,157281,11882,7586,ok
Ed25519,6,152156,6148,2700,ok
Ed25519,7,151870,6148,2700,ok
ML-DSA-65,7,157748,11883,7583,ok
ML-DSA-65,8,157414,11882,7589,ok
Ed25519,8,152064,6148,2700,ok
Ed25519,9,152191,6148,2700,ok
ML-DSA-65,9,156910,11882,7579,ok
