suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,804344,11933,7635,ok
Ed25519,0,635980,6158,2746,ok
Ed25519,1,698743,6158,2746,ok
ML-DSA-65,1,2168148,12003,11282,ok
ML-DSA-65,2,473887,11932,7678,ok
Ed25519,2,549173,6158,2746,ok
Ed25519,3,676428,6158,2746,ok
ML-DSA-65,3,1403525,11910,11232,ok
ML-DSA-65,4,2240262,16335,7692,ok
Ed25519,4,573260,6158,2746,ok
Ed25519,5,626914,6158,2746,ok
ML-DSA-65,5,2177646,16335,7684,ok
ML-DSA-65,6,1248441,13528,7688,ok
Ed25519,6,580357,6158,2746,ok
Ed25519,7,621592,6158,2746,ok
ML-DSA-65,7,1520699,13894,7690,ok
ML-DSA-65,8,1241319,13528,7692,ok
Ed25519,8,583761,6158,2746,ok
Ed25519,9,622491,6158,2746,ok
ML-DSA-65,9,1223444,11950,9957,ok
