suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,207542,11883,7578,ok
Ed25519,0,152126,6148,2700,ok
Ed25519,1,151908,6148,2700,ok
ML-DSA-65,1,207507,11882,7586,ok
ML-DSA-65,2,207347,11882,7585,ok
Ed25519,2,152062,6148,2700,ok
Ed25519,3,151757,6148,2700,ok
ML-DSA-65,3,207321,11882,7578,ok
ML-DSA-65,4,207835,11882,7584,ok
Ed25519,4,151881,6148,2700,ok
Ed25519,5,151701,6148,2700,ok
ML-DSA-65,5,207421,11882,7580,ok
ML-DSA-65,6,207570,11882,7580,ok
Ed25519,6,151863,6148,2700,ok
Ed25519,7,153639,6148,2700,ok
ML-DSA-65,7,207501,11882,7582,ok
ML-DSA-65,8,207149,11882,7575,ok
Ed25519,8,151981,6148,2700,ok
Ed25519,9,151747,6148,2700,ok
ML-DSA-65,9,207325,11882,7579,ok
