suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,207592,11883,7581,ok
Ed25519,0,151993,6148,2700,ok
Ed25519,1,152805,6148,2701,ok
ML-DSA-65,1,208293,11883,7585,ok
ML-DSA-65,2,207625,11882,7578,ok
Ed25519,2,152404,6148,2701,ok
Ed25519,3,152099,6148,2700,ok
ML-DSA-65,3,208069,11882,7584,ok
ML-DSA-65,4,207626,11883,7589,ok
Ed25519,4,152079,6148,2700,ok
Ed25519,5,151994,6148,2700,ok
ML-DSA-65,5,207622,11882,7588,ok
ML-DSA-65,6,207769,11882,7590,ok
Ed25519,6,152031,6148,2700,ok
Ed25519,7,152163,6148,2700,ok
ML-DSA-65,7,208386,11882,7587,ok
ML-DSA-65,8,207482,11882,7581,ok
Ed25519,8,152288,6148,2700,ok
Ed25519,9,152157,6148,2700,ok
ML-DSA-65,9,207699,11882,7587,ok
