suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,289776,10733,8741,ok
Ed25519,0,152326,4948,2700,ok
Ed25519,1,156267,4984,2700,ok
ML-DSA-65,1,289936,10707,8722,ok
ML-DSA-65,2,296779,10707,7591,ok
Ed25519,2,156263,4948,2700,ok
Ed25519,3,154059,4984,2700,ok
ML-DSA-65,3,291784,10732,8715,ok
ML-DSA-65,4,296544,10706,8667,ok
Ed25519,4,152554,4948,2700,ok
Ed25519,5,152518,4948,2700,ok
ML-DSA-65,5,293340,10733,7578,ok
ML-DSA-65,6,290156,10706,7577,ok
Ed25519,6,157366,4984,2694,ok
Ed25519,7,153155,4948,2694,ok
ML-DSA-65,7,292359,10707,8715,ok
ML-DSA-65,8,294868,10707,8670,ok
Ed25519,8,154897,4984,2700,ok
Ed25519,9,155251,4984,2700,ok
ML-DSA-65,9,292203,10706,7585,ok
