suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,1356393,13930,7681,ok
Ed25519,0,583346,6158,2746,ok
Ed25519,1,645330,6158,2746,ok
ML-DSA-65,1,2255984,16309,7685,ok
ML-DSA-65,2,676136,11932,7690,ok
Ed25519,2,620901,6158,2746,ok
Ed25519,3,649578,6158,2746,ok
ML-DSA-65,3,1295994,11951,9975,ok
ML-DSA-65,4,554393,11932,7693,ok
Ed25519,4,499288,6158,2746,ok
Ed25519,5,732933,6158,2746,ok
ML-DSA-65,5,894418,11932,7630,ok
ML-DSA-65,6,646177,11933,7686,ok
Ed25519,6,468911,6184,2746,ok
Ed25519,7,509613,6158,2746,ok
ML-DSA-65,7,2299482,13902,9929,ok
ML-DSA-65,8,1246894,11906,10012,ok
Ed25519,8,620879,6184,2746,ok
Ed25519,9,661332,6158,2746,ok
ML-DSA-65,9,1345509,11950,9984,ok
