suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,547880,10706,8724,ok
Ed25519,0,204871,4984,2694,ok
Ed25519,1,211761,4984,2694,ok
ML-DSA-65,1,454356,10707,7637,ok
ML-DSA-65,2,464500,10706,8725,ok
Ed25519,2,249035,4984,2694,ok
Ed25519,3,244496,4984,2694,ok
ML-DSA-65,3,484288,10707,8725,ok
ML-DSA-65,4,504398,10706,8720,ok
Ed25519,4,293514,4984,2694,ok
Ed25519,5,241808,4984,2694,ok
ML-DSA-65,5,534517,10707,8711,ok
ML-DSA-65,6,554104,10706,8714,ok
Ed25519,6,219605,4984,2694,ok
Ed25519,7,229765,4984,2694,ok
ML-DSA-65,7,462672,10706,8567,ok
ML-DSA-65,8,478689,10706,7670,ok
Ed25519,8,262603,4984,2694,ok
Ed25519,9,257063,4984,2694,ok
ML-DSA-65,9,497059,10707,7663,ok
