suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,288184,10706,7636,ok
Ed25519,0,151654,4948,2700,ok
Ed25519,1,152003,4948,2694,ok
ML-DSA-65,1,286063,10706,7826,ok
ML-DSA-65,2,288769,10706,8675,ok
Ed25519,2,151611,4948,2700,ok
Ed25519,3,151718,4948,2700,ok
ML-DSA-65,3,287578,10707,8679,ok
ML-DSA-65,4,287262,10706,8675,ok
Ed25519,4,152711,4948,2694,ok
Ed25519,5,151389,4948,2700,ok
ML-DSA-65,5,288039,10706,8667,ok
ML-DSA-65,6,290843,10706,7578,ok
Ed25519,6,151696,4948,2700,ok
Ed25519,7,151528,4948,2700,ok
ML-DSA-65,7,290329,10697,7963,ok
ML-DSA-65,8,286961,10706,8670,ok
Ed25519,8,152064,4948,2700,ok
Ed25519,9,152341,4948,2694,ok
ML-DSA-65,9,394249,11932,8605,ok
