suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,210341,11932,7583,ok
Ed25519,0,221015,6184,2746,ok
Ed25519,1,243953,6184,2746,ok
ML-DSA-65,1,256667,11932,7681,ok
ML-DSA-65,2,253057,11933,7687,ok
Ed25519,2,240771,6184,2746,ok
Ed25519,3,250350,6184,2746,ok
ML-DSA-65,3,271486,11932,7691,ok
ML-DSA-65,4,293096,11932,7582,ok
Ed25519,4,210767,6148,2746,ok
Ed25519,5,291908,6184,2694,ok
ML-DSA-65,5,326423,11783,7685,ok
ML-DSA-65,6,236922,11883,7597,ok
Ed25519,6,263386,6184,2700,ok
Ed25519,7,277144,6184,2746,ok
ML-DSA-65,7,279535,11932,7684,ok
ML-DSA-65,8,292416,11932,7679,ok
Ed25519,8,274277,6184,2746,ok
Ed25519,9,283699,6184,2746,ok
ML-DSA-65,9,303342,11883,7683,ok
