suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,299057,10732,8686,ok
Ed25519,0,152948,4948,2700,ok
Ed25519,1,151772,4948,2700,ok
ML-DSA-65,1,299576,10706,8677,ok
ML-DSA-65,2,299756,10707,8670,ok
Ed25519,2,151726,4948,2700,ok
Ed25519,3,151861,4948,2700,ok
ML-DSA-65,3,303536,10706,8672,ok
ML-DSA-65,4,301109,10706,7621,ok
Ed25519,4,152092,4948,2700,ok
Ed25519,5,151835,4948,2700,ok
ML-DSA-65,5,299651,10706,7577,ok
ML-DSA-65,6,300285,10706,8525,ok
Ed25519,6,152219,4948,2700,ok
Ed25519,7,152686,4948,2700,ok
ML-DSA-65,7,299005,10732,8675,ok
ML-DSA-65,8,298878,10706,8669,ok
Ed25519,8,152009,4948,2700,ok
Ed25519,9,151709,4948,2700,ok
ML-DSA-65,9,299220,10706,8519,ok
