suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,288976,10707,7619,ok
Ed25519,0,151654,4948,2700,ok
Ed25519,1,151982,4948,2700,ok
ML-DSA-65,1,289510,10706,7585,ok
ML-DSA-65,2,288249,10706,7620,ok
Ed25519,2,151802,4948,2700,ok
Ed25519,3,151830,4948,2700,ok
ML-DSA-65,3,287996,10707,8673,ok
ML-DSA-65,4,287790,10706,8517,ok
Ed25519,4,153051,4948,2700,ok
Ed25519,5,152047,4948,2700,ok
ML-DSA-65,5,288266,10707,8694,ok
ML-DSA-65,6,289588,10706,8519,ok
Ed25519,6,152229,4948,2700,ok
Ed25519,7,151758,4948,2700,ok
ML-DSA-65,7,287742,10707,8668,ok
ML-DSA-65,8,288629,10706,8664,ok
Ed25519,8,151756,4948,2700,ok
Ed25519,9,157023,4984,2700,ok
ML-DSA-65,9,289883,10708,8656,ok
