suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,1696471,11906,7636,ok
Ed25519,0,621312,4958,2694,ok
Ed25519,1,565425,4958,2694,ok
ML-DSA-65,1,1645379,11907,8726,ok
ML-DSA-65,2,1120480,10707,8719,ok
Ed25519,2,637709,4958,2694,ok
Ed25519,3,678617,4958,2694,ok
ML-DSA-65,3,1584995,11906,8719,ok
ML-DSA-65,4,1240039,10706,8718,ok
Ed25519,4,512402,4984,2694,ok
Ed25519,5,568214,4958,2694,ok
ML-DSA-65,5,1652986,10704,11121,ok
ML-DSA-65,6,1564731,11906,8720,ok
Ed25519,6,539741,4984,2694,ok
Ed25519,7,582003,4958,2694,ok
ML-DSA-65,7,1171658,10707,7636,ok
ML-DSA-65,8,1254970,10707,8720,ok
Ed25519,8,539302,4984,2694,ok
Ed25519,9,581629,4958,2694,ok
ML-DSA-65,9,2794699,13107,11166,ok
