suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,372657,13880,7629,ok
Ed25519,0,153697,6148,2746,ok
Ed25519,1,152060,6148,2700,ok
ML-DSA-65,1,373966,13882,7588,ok
ML-DSA-65,2,157524,11896,7590,ok
Ed25519,2,151485,6148,2700,ok
Ed25519,3,151432,6148,2746,ok
ML-DSA-65,3,157229,11882,7586,ok
ML-DSA-65,4,156881,11882,7576,ok
Ed25519,4,151386,6148,2746,ok
Ed25519,5,153150,6148,2746,ok
ML-DSA-65,5,345071,13481,7633,ok
ML-DSA-65,6,156881,11882,7583,ok
Ed25519,6,151547,6148,2700,ok
Ed25519,7,152767,6148,2746,ok
ML-DSA-65,7,512102,15080,7644,ok
ML-DSA-65,8,156520,11882,7639,ok
Ed25519,8,153800,6148,2752,ok
Ed25519,9,151675,6148,2700,ok
ML-DSA-65,9,343937,13528,7582,ok
