suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,288795,10706,8670,ok
Ed25519,0,152926,4948,2700,ok
Ed25519,1,152175,4948,2700,ok
ML-DSA-65,1,290802,10707,8540,ok
ML-DSA-65,2,289027,10707,8529,ok
Ed25519,2,152841,4948,2700,ok
Ed25519,3,152119,4948,2700,ok
ML-DSA-65,3,288598,10706,7943,ok
ML-DSA-65,4,289172,10706,8401,ok
Ed25519,4,151952,4948,2700,ok
Ed25519,5,151838,4948,2700,ok
ML-DSA-65,5,289383,10706,8668,ok
ML-DSA-65,6,288008,10706,8100,ok
Ed25519,6,152030,4948,2700,ok
Ed25519,7,151931,4948,2700,ok
ML-DSA-65,7,288010,10706,7581,ok
ML-DSA-65,8,288781,10706,7618,ok
Ed25519,8,152520,4948,2701,ok
Ed25519,9,151550,4948,2700,ok
ML-DSA-65,9,289313,10706,8668,ok
