suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,299786,10706,8664,ok
Ed25519,0,151956,4948,2700,ok
Ed25519,1,152367,4948,2700,ok
ML-DSA-65,1,299882,10706,7587,ok
ML-DSA-65,2,299763,10706,8666,ok
Ed25519,2,152120,4948,2700,ok
Ed25519,3,152012,4948,2700,ok
ML-DSA-65,3,300496,10706,8692,ok
ML-DSA-65,4,300508,10706,8665,ok
Ed25519,4,153163,4948,2700,ok
Ed25519,5,152189,4948,2700,ok
ML-DSA-65,5,299910,10707,8666,ok
ML-DSA-65,6,299816,10707,8672,ok
Ed25519,6,152024,4948,2700,ok
Ed25519,7,151971,4948,2700,ok
ML-DSA-65,7,300267,10706,8678,ok
ML-DSA-65,8,300067,10706,8673,ok
Ed25519,8,151956,4948,2700,ok
Ed25519,9,151860,4948,2700,ok
ML-DSA-65,9,300003,10706,8684,ok
