suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,293969,10707,8664,ok
Ed25519,0,154381,4948,2694,ok
Ed25519,1,152380,4948,2700,ok
ML-DSA-65,1,401312,11906,8729,ok
ML-DSA-65,2,289371,10706,7592,ok
Ed25519,2,158713,4948,2700,ok
Ed25519,3,154821,4984,2694,ok
ML-DSA-65,3,487691,12305,8672,ok
ML-DSA-65,4,301854,10706,7579,ok
Ed25519,4,159101,4984,2694,ok
Ed25519,5,155116,4948,2694,ok
ML-DSA-65,5,296114,10707,8675,ok
ML-DSA-65,6,297719,10732,8665,ok
Ed25519,6,153224,4948,2700,ok
Ed25519,7,162939,4984,2700,ok
ML-DSA-65,7,290905,10706,8675,ok
ML-DSA-65,8,288596,10707,8728,ok
Ed25519,8,152653,4948,2700,ok
Ed25519,9,151694,4948,2700,ok
ML-DSA-65,9,301344,10707,8674,ok
ML-DSA-65,10,294455,10706,8667,ok
Ed25519,10,152303,4948,2694,ok
Ed25519,11,156396,4948,2700,ok
ML-DSA-65,11,288710,10706,8700,ok
ML-DSA-65,12,289318,10706,8664,ok
Ed25519,12,151670,4948,2700,ok
Ed25519,13,152720,4948,2700,ok
ML-DSA-65,13,287362,10732,8701,ok
ML-DSA-65,14,288403,10706,8726,ok
Ed25519,14,152067,4948,2700,ok
Ed25519,15,151775,4948,2700,ok
ML-DSA-65,15,287356,10706,8525,ok
ML-DSA-65,16,287137,10706,7589,ok
Ed25519,16,151499,4948,2694,ok
Ed25519,17,152881,4948,2694,ok
ML-DSA-65,17,403418,11907,8666,ok
ML-DSA-65,18,290378,10733,8673,ok
Ed25519,18,157529,4984,2694,ok
Ed25519,19,152707,4948,2700,ok
ML-DSA-65,19,312447,10733,8723,ok
