suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,157843,11882,7639,ok
Ed25519,0,151215,6148,2700,ok
Ed25519,1,152050,6148,2752,ok
ML-DSA-65,1,345513,13528,7576,ok
ML-DSA-65,2,157330,11932,7578,ok
Ed25519,2,151686,6148,2700,ok
Ed25519,3,151369,6148,2752,ok
ML-DSA-65,3,157203,11882,7636,ok
ML-DSA-65,4,156951,11882,7579,ok
Ed25519,4,151915,6148,2700,ok
Ed25519,5,153226,6148,2746,ok
ML-DSA-65,5,156881,11882,7627,ok
ML-DSA-65,6,157085,11882,7582,ok
Ed25519,6,151540,6148,2700,ok
Ed25519,7,152966,6148,2752,ok
ML-DSA-65,7,156792,11882,7581,ok
ML-DSA-65,8,157577,11883,7577,ok
Ed25519,8,152698,6148,2700,ok
Ed25519,9,151547,6148,2700,ok
ML-DSA-65,9,156917,11882,7585,ok
ML-DSA-65,10,158800,11932,7631,ok
Ed25519,10,152035,6148,2694,ok
Ed25519,11,152165,6148,2700,ok
ML-DSA-65,11,156890,11882,7637,ok
ML-DSA-65,12,157085,11882,7579,ok
Ed25519,12,151560,6148,2700,ok
Ed25519,13,152176,6148,2700,ok
ML-DSA-65,13,157267,11882,7578,ok
ML-DSA-65,14,157293,11882,7632,ok
Ed25519,14,151918,6148,2746,ok
Ed25519,15,151496,6148,2700,ok
ML-DSA-65,15,351863,11900,9932,ok
ML-DSA-65,16,157266,11846,7576,ok
Ed25519,16,151599,6148,2700,ok
Ed25519,17,152113,6148,2700,ok
ML-DSA-65,17,356693,11900,9910,ok
ML-DSA-65,18,342257,13478,7588,ok
Ed25519,18,151616,6148,2700,ok
Ed25519,19,152191,6148,2701,ok
ML-DSA-65,19,524775,16335,7582,ok
