suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,233777,11832,7627,ok
Ed25519,0,153316,6148,2701,ok
Ed25519,1,152073,6148,2700,ok
ML-DSA-65,1,234095,11832,8519,ok
ML-DSA-65,2,233932,11832,8676,ok
Ed25519,2,151719,6148,2700,ok
Ed25519,3,152543,6148,2700,ok
ML-DSA-65,3,234110,11832,8664,ok
ML-DSA-65,4,234025,11832,8676,ok
Ed25519,4,151531,6148,2700,ok
Ed25519,5,151892,6148,2700,ok
ML-DSA-65,5,234635,11832,8672,ok
ML-DSA-65,6,235082,11833,7620,ok
Ed25519,6,151764,6148,2700,ok
Ed25519,7,151664,6148,2700,ok
ML-DSA-65,7,233900,11832,8676,ok
ML-DSA-65,8,235813,11832,7634,ok
Ed25519,8,151720,6148,2700,ok
Ed25519,9,151633,6148,2700,ok
ML-DSA-65,9,233435,11832,8676,ok
ML-DSA-65,10,235526,11832,8666,ok
Ed25519,10,151712,6148,2700,ok
Ed25519,11,151852,6148,2700,ok
ML-DSA-65,11,233796,11832,8677,ok
ML-DSA-65,12,233056,11832,8670,ok
Ed25519,12,152276,6148,2701,ok
Ed25519,13,151883,6148,2700,ok
ML-DSA-65,13,233897,11833,7929,ok
ML-DSA-65,14,230944,11832,7584,ok
Ed25519,14,151670,6148,2700,ok
Ed25519,15,151713,6148,2700,ok
ML-DSA-65,15,233729,11832,8673,ok
ML-DSA-65,16,234044,11832,7622,ok
Ed25519,16,151836,6148,2700,ok
Ed25519,17,151608,6148,2700,ok
ML-DSA-65,17,234670,11832,7613,ok
ML-DSA-65,18,232791,11832,7586,ok
Ed25519,18,151787,6148,2700,ok
Ed25519,19,152102,6148,2700,ok
ML-DSA-65,19,234768,11832,7580,ok
