suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,151754,10597,7431,ok
Ed25519,0,151806,6148,2700,ok
Ed25519,1,151783,6148,2700,ok
ML-DSA-65,1,152033,10597,7437,ok
ML-DSA-65,2,152231,10597,7436,ok
Ed25519,2,151576,6148,2700,ok
Ed25519,3,151887,6148,2700,ok
ML-DSA-65,3,152142,10599,7445,ok
ML-DSA-65,4,151836,10597,7439,ok
Ed25519,4,151944,6148,2700,ok
Ed25519,5,152556,6148,2700,ok
ML-DSA-65,5,152142,10599,7435,ok
ML-DSA-65,6,152603,10599,7433,ok
Ed25519,6,151758,6148,2700,ok
Ed25519,7,152403,6148,2700,ok
ML-DSA-65,7,152212,10599,7441,ok
ML-DSA-65,8,152013,10597,7432,ok
Ed25519,8,151798,6148,2700,ok
Ed25519,9,152113,6148,2700,ok
ML-DSA-65,9,152032,10599,7443,ok
ML-DSA-65,10,152694,10599,7435,ok
Ed25519,10,151763,6148,2700,ok
Ed25519,11,152051,6148,2700,ok
ML-DSA-65,11,151925,10597,7440,ok
ML-DSA-65,12,152291,10599,7442,ok
Ed25519,12,151632,6148,2700,ok
Ed25519,13,151693,6148,2700,ok
ML-DSA-65,13,152307,10597,7447,ok
ML-DSA-65,14,152061,10599,7437,ok
Ed25519,14,151706,6148,2700,ok
Ed25519,15,151578,6148,2700,ok
ML-DSA-65,15,151905,10597,7445,ok
ML-DSA-65,16,151912,10597,7445,ok
Ed25519,16,151639,6148,2700,ok
Ed25519,17,152127,6148,2700,ok
ML-DSA-65,17,152109,10599,7431,ok
ML-DSA-65,18,152526,10599,7435,ok
Ed25519,18,151623,6148,2700,ok
Ed25519,19,151693,6148,2700,ok
ML-DSA-65,19,151867,10597,7443,ok
