suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,176278,11833,7632,ok
Ed25519,0,153660,6148,2752,ok
Ed25519,1,155551,6148,2700,ok
ML-DSA-65,1,400533,13832,8674,ok
ML-DSA-65,2,381020,11809,9918,ok
Ed25519,2,152029,6148,2752,ok
Ed25519,3,157917,6184,2700,ok
ML-DSA-65,3,184108,11833,8672,ok
ML-DSA-65,4,179011,11832,7633,ok
Ed25519,4,153349,6148,2700,ok
Ed25519,5,152419,6148,2700,ok
ML-DSA-65,5,281537,13083,7592,ok
ML-DSA-65,6,186910,11883,8666,ok
Ed25519,6,153527,6148,2752,ok
Ed25519,7,152322,6148,2700,ok
ML-DSA-65,7,161039,10635,7637,ok
ML-DSA-65,8,176888,11833,7528,ok
Ed25519,8,152898,6148,2746,ok
Ed25519,9,152411,6148,2694,ok
ML-DSA-65,9,359494,13531,8728,ok
ML-DSA-65,10,182038,11882,8677,ok
Ed25519,10,151650,6148,2700,ok
Ed25519,11,152304,6148,2700,ok
ML-DSA-65,11,182338,11883,8726,ok
ML-DSA-65,12,182005,11882,8674,ok
Ed25519,12,151339,6148,2746,ok
Ed25519,13,154859,6148,2746,ok
ML-DSA-65,13,359507,13528,8727,ok
ML-DSA-65,14,181896,11882,8726,ok
Ed25519,14,151483,6148,2700,ok
Ed25519,15,151883,6148,2746,ok
ML-DSA-65,15,191271,11932,7723,ok
ML-DSA-65,16,181262,11882,8678,ok
Ed25519,16,154098,6184,2701,ok
Ed25519,17,153191,6148,2746,ok
ML-DSA-65,17,184575,11882,8722,ok
ML-DSA-65,18,181455,11882,8717,ok
Ed25519,18,158897,6184,2700,ok
Ed25519,19,153082,6184,2752,ok
ML-DSA-65,19,172422,11832,8675,ok
