suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,336528,13083,8733,ok
Ed25519,0,157051,6148,2694,ok
Ed25519,1,154932,6148,2700,ok
ML-DSA-65,1,238403,11932,7579,ok
ML-DSA-65,2,266529,11882,8728,ok
Ed25519,2,155532,6148,2700,ok
Ed25519,3,154152,6148,2700,ok
ML-DSA-65,3,247906,11882,8719,ok
ML-DSA-65,4,338765,11800,8831,ok
Ed25519,4,155722,6148,2752,ok
Ed25519,5,154892,6184,2753,ok
ML-DSA-65,5,235469,11832,8668,ok
ML-DSA-65,6,244363,11883,8769,ok
Ed25519,6,153076,6148,2746,ok
Ed25519,7,152663,6148,2701,ok
ML-DSA-65,7,248734,11833,8720,ok
ML-DSA-65,8,243751,11933,8673,ok
Ed25519,8,152384,6148,2752,ok
Ed25519,9,155931,6184,2700,ok
ML-DSA-65,9,236346,11933,8657,ok
ML-DSA-65,10,424049,13478,8721,ok
Ed25519,10,153389,6148,2700,ok
Ed25519,11,152331,6148,2700,ok
ML-DSA-65,11,243459,11883,8770,ok
ML-DSA-65,12,236366,11933,8722,ok
Ed25519,12,152292,6148,2700,ok
Ed25519,13,158055,6148,2752,ok
ML-DSA-65,13,242088,11932,7587,ok
ML-DSA-65,14,236172,11932,8670,ok
Ed25519,14,152316,6148,2700,ok
Ed25519,15,155169,6148,2700,ok
ML-DSA-65,15,244166,11882,7642,ok
ML-DSA-65,16,241126,11882,7676,ok
Ed25519,16,152726,6148,2746,ok
Ed25519,17,155593,6148,2694,ok
ML-DSA-65,17,237005,11932,8668,ok
ML-DSA-65,18,246216,11883,7687,ok
Ed25519,18,153429,6148,2700,ok
Ed25519,19,157309,6184,2746,ok
ML-DSA-65,19,246099,11882,8704,ok
