suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,243701,11882,8713,ok
Ed25519,0,151413,6148,2700,ok
Ed25519,1,151470,6148,2700,ok
ML-DSA-65,1,240129,11882,7683,ok
ML-DSA-65,2,243978,11882,8727,ok
Ed25519,2,151859,6148,2700,ok
Ed25519,3,151483,6148,2700,ok
ML-DSA-65,3,245429,11882,8720,ok
ML-DSA-65,4,234471,11932,8527,ok
Ed25519,4,151895,6148,2700,ok
Ed25519,5,151448,6148,2700,ok
ML-DSA-65,5,243387,11882,7635,ok
ML-DSA-65,6,232845,11932,8772,ok
Ed25519,6,151258,6148,2752,ok
Ed25519,7,151313,6148,2700,ok
ML-DSA-65,7,235870,11932,8655,ok
ML-DSA-65,8,232842,11932,8665,ok
Ed25519,8,152106,6148,2700,ok
Ed25519,9,153411,6148,2746,ok
ML-DSA-65,9,242849,11883,8769,ok
ML-DSA-65,10,232690,11932,8662,ok
Ed25519,10,151262,6148,2700,ok
Ed25519,11,152402,6148,2746,ok
ML-DSA-65,11,240988,11882,7976,ok
ML-DSA-65,12,244726,11882,7637,ok
Ed25519,12,151433,6148,2752,ok
Ed25519,13,155082,6148,2700,ok
ML-DSA-65,13,233897,11932,7621,ok
ML-DSA-65,14,242296,11882,7628,ok
Ed25519,14,151341,6148,2700,ok
Ed25519,15,152128,6148,2700,ok
ML-DSA-65,15,242018,11882,7686,ok
ML-DSA-65,16,235050,11932,8280,ok
Ed25519,16,151548,6148,2700,ok
Ed25519,17,151397,6148,2700,ok
ML-DSA-65,17,241330,11882,8725,ok
ML-DSA-65,18,242623,11882,7676,ok
Ed25519,18,151442,6148,2700,ok
Ed25519,19,151391,6148,2700,ok
ML-DSA-65,19,233542,11932,7676,ok
