suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,287717,10706,8691,ok
Ed25519,0,151537,4948,2700,ok
Ed25519,1,152031,4948,2700,ok
ML-DSA-65,1,288066,10706,8445,ok
ML-DSA-65,2,288358,10706,8666,ok
Ed25519,2,152083,4948,2700,ok
Ed25519,3,152563,4948,2700,ok
ML-DSA-65,3,286704,10732,8523,ok
ML-DSA-65,4,289183,10706,7922,ok
Ed25519,4,151328,4948,2700,ok
Ed25519,5,151427,4948,2700,ok
ML-DSA-65,5,286327,10706,8665,ok
ML-DSA-65,6,288065,10706,8672,ok
Ed25519,6,153470,4984,2700,ok
Ed25519,7,151719,4948,2694,ok
ML-DSA-65,7,288657,10706,8705,ok
ML-DSA-65,8,477492,12302,8669,ok
Ed25519,8,151725,4948,2700,ok
Ed25519,9,152742,4948,2700,ok
ML-DSA-65,9,288086,10707,8677,ok
ML-DSA-65,10,287731,10706,7583,ok
Ed25519,10,152164,4948,2700,ok
Ed25519,11,151782,4948,2700,ok
ML-DSA-65,11,286912,10706,7673,ok
ML-DSA-65,12,288467,10706,7634,ok
Ed25519,12,151678,4948,2700,ok
Ed25519,13,152407,4948,2694,ok
ML-DSA-65,13,286952,10706,8667,ok
ML-DSA-65,14,286909,10706,7626,ok
Ed25519,14,153545,4948,2700,ok
Ed25519,15,152032,4948,2694,ok
ML-DSA-65,15,287429,10706,7674,ok
ML-DSA-65,16,290183,10706,8675,ok
Ed25519,16,151461,4948,2700,ok
Ed25519,17,152172,4948,2700,ok
ML-DSA-65,17,289193,10706,7627,ok
ML-DSA-65,18,285910,10706,8664,ok
Ed25519,18,152067,4948,2694,ok
Ed25519,19,151398,4948,2700,ok
ML-DSA-65,19,287839,10706,8716,ok
