suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,181551,11882,7644,ok
Ed25519,0,152345,6148,2694,ok
Ed25519,1,155841,6148,2700,ok
ML-DSA-65,1,179075,11833,8717,ok
ML-DSA-65,2,185050,11883,8664,ok
Ed25519,2,154470,6148,2700,ok
Ed25519,3,158784,6184,2701,ok
ML-DSA-65,3,291002,13096,7641,ok
ML-DSA-65,4,303801,13082,8676,ok
Ed25519,4,152695,6148,2694,ok
Ed25519,5,152758,6148,2700,ok
ML-DSA-65,5,183457,11882,8722,ok
ML-DSA-65,6,378695,13431,7636,ok
Ed25519,6,158238,6148,2753,ok
Ed25519,7,152511,6148,2700,ok
ML-DSA-65,7,181576,11882,8672,ok
ML-DSA-65,8,300117,13132,7635,ok
Ed25519,8,152223,6148,2700,ok
Ed25519,9,151462,6148,2700,ok
ML-DSA-65,9,182320,11882,8723,ok
ML-DSA-65,10,193227,11932,8781,ok
Ed25519,10,151562,6148,2700,ok
Ed25519,11,152237,6148,2700,ok
ML-DSA-65,11,181480,11882,7593,ok
ML-DSA-65,12,182512,11882,7641,ok
Ed25519,12,152856,6148,2700,ok
Ed25519,13,151505,6148,2700,ok
ML-DSA-65,13,192632,11933,8714,ok
ML-DSA-65,14,184392,11882,8725,ok
Ed25519,14,153598,6148,2752,ok
Ed25519,15,151756,6148,2694,ok
ML-DSA-65,15,192492,11933,8718,ok
ML-DSA-65,16,195940,11932,8767,ok
Ed25519,16,152650,6148,2701,ok
Ed25519,17,151819,6148,2752,ok
ML-DSA-65,17,191941,11932,7679,ok
ML-DSA-65,18,181777,11883,8675,ok
Ed25519,18,151791,6148,2700,ok
Ed25519,19,151492,6148,2700,ok
ML-DSA-65,19,181229,11882,7580,ok
