suite,sample,handshake_us,client_tx_bytes,server_tx_bytes,status
ML-DSA-65,0,157250,11882,7586,ok
Ed25519,0,151564,6148,2700,ok
Ed25519,1,151879,6148,2700,ok
ML-DSA-65,1,160028,11882,7627,ok
ML-DSA-65,2,160472,11933,7585,ok
Ed25519,2,152241,6148,2700,ok
Ed25519,3,152758,6148,2752,ok
ML-DSA-65,3,528078,15080,7581,ok
ML-DSA-65,4,374512,13482,7534,ok
Ed25519,4,153982,6148,2752,ok
Ed25519,5,165046,6148,2700,ok
ML-DSA-65,5,158390,11846,7634,ok
ML-DSA-65,6,166684,11834,7591,ok
Ed25519,6,151460,6148,2700,ok
Ed25519,7,151547,6148,2700,ok
ML-DSA-65,7,369558,13880,7541,ok
ML-DSA-65,8,157524,11932,7581,ok
Ed25519,8,152658,6148,2752,ok
Ed25519,9,151299,6148,2700,ok
ML-DSA-65,9,343713,13478,7580,ok
ML-DSA-65,10,158777,11932,7580,ok
Ed25519,10,151769,6148,2746,ok
Ed25519,11,151417,6148,2752,ok
ML-DSA-65,11,507664,15080,7590,ok
ML-DSA-65,12,156967,11882,7579,ok
Ed25519,12,151557,6148,2700,ok
Ed25519,13,151236,6148,2700,ok
ML-DSA-65,13,370682,13930,7530,ok
ML-DSA-65,14,158712,11932,7583,ok
Ed25519,14,151694,6148,2700,ok
Ed25519,15,151189,6148,2746,ok
ML-DSA-65,15,349572,13478,7637,ok
ML-DSA-65,16,157183,11883,7584,ok
Ed25519,16,151337,6148,2700,ok
Ed25519,17,153072,6148,2752,ok
ML-DSA-65,17,157514,11882,7589,ok
ML-DSA-65,18,343189,13478,7641,ok
Ed25519,18,151904,6148,2752,ok
Ed25519,19,152474,6148,2700,ok
ML-DSA-65,19,369704,13880,7530,ok
